fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.7;0.24;0.39;2.90;0.173;63;157;0.9937;3.10;0.34;9.40;6
7.0;0.31;0.26;7.40;0.069;28;160;0.9954;3.13;0.46;9.80;6
6.6;0.24;0.27;1.40;0.057;33;152;0.9934;3.22;0.56;9.50;6
6.7;0.23;0.26;1.40;0.060;33;154;0.9934;3.24;0.56;9.50;6
7.4;0.18;0.31;1.40;0.058;38;167;0.9931;3.16;0.53;10.00;7
6.2;0.45;0.26;4.40;0.063;63;206;0.9940;3.27;0.52;9.80;4
6.2;0.46;0.25;4.40;0.066;62;207;0.9939;3.25;0.52;9.80;5
7.0;0.31;0.26;7.40;0.069;28;160;0.9954;3.13;0.46;9.80;6
6.9;0.19;0.35;5.00;0.067;32;150;0.9950;3.36;0.48;9.80;5
7.2;0.19;0.31;1.60;0.062;31;173;0.9917;3.35;0.44;11.70;6
6.6;0.25;0.29;1.10;0.068;39;124;0.9914;3.34;0.58;11.00;7
6.2;0.16;0.33;1.10;0.057;21;82;0.9910;3.32;0.46;10.90;7
6.4;0.18;0.35;1.00;0.045;39;108;0.9911;3.31;0.35;10.90;6
6.8;0.20;0.59;0.90;0.147;38;132;0.9930;3.05;0.38;9.10;6
6.9;0.25;0.35;1.30;0.039;29;191;0.9908;3.13;0.52;11.00;6
7.2;0.21;0.34;11.90;0.043;37;213;0.9962;3.09;0.50;9.60;6
6.0;0.19;0.26;12.40;0.048;50;147;0.9972;3.30;0.36;8.90;6
6.6;0.38;0.15;4.60;0.044;25;78;0.9931;3.11;0.38;10.20;6
7.4;0.20;0.36;1.20;0.038;44;111;0.9926;3.36;0.34;9.90;6
6.8;0.22;0.24;4.90;0.092;30;123;0.9951;3.03;0.46;8.60;6
6.0;0.19;0.26;12.40;0.048;50;147;0.9972;3.30;0.36;8.90;6
7.0;0.47;0.07;1.10;0.035;17;151;0.9910;3.02;0.34;10.50;5
6.6;0.38;0.15;4.60;0.044;25;78;0.9931;3.11;0.38;10.20;6
7.2;0.24;0.27;1.40;0.038;31;122;0.9927;3.15;0.46;10.30;6
6.2;0.35;0.03;1.20;0.064;29;120;0.9934;3.22;0.54;9.10;5
6.4;0.26;0.24;6.40;0.040;27;124;0.9903;3.22;0.49;12.60;7
6.7;0.25;0.13;1.20;0.041;81;174;0.9920;3.14;0.42;9.80;5
6.7;0.23;0.31;2.10;0.046;30;96;0.9926;3.33;0.64;10.70;8
7.4;0.24;0.29;10.10;0.050;21;105;0.9962;3.13;0.35;9.50;5
6.2;0.27;0.43;7.80;0.056;48;244;0.9956;3.10;0.51;9.00;6
6.8;0.30;0.23;4.60;0.061;50.5;238.5;0.9958;3.32;0.60;9.50;5
6.0;0.27;0.28;4.80;0.063;31;201;0.9964;3.69;0.71;10.00;5
8.6;0.23;0.46;1.00;0.054;9;72;0.9941;2.95;0.49;9.10;6
6.7;0.23;0.31;2.10;0.046;30;96;0.9926;3.33;0.64;10.70;8
7.4;0.24;0.29;10.10;0.050;21;105;0.9962;3.13;0.35;9.50;5
7.1;0.18;0.36;1.40;0.043;31;87;0.9898;3.26;0.37;12.70;7
7.0;0.32;0.34;1.30;0.042;20;69;0.9912;3.31;0.65;12.00;7
7.4;0.18;0.30;8.80;0.064;26;103;0.9961;2.94;0.56;9.30;5
6.7;0.54;0.28;5.40;0.060;21;105;0.9949;3.27;0.37;9.00;5
6.8;0.22;0.31;1.40;0.053;34;114;0.9929;3.39;0.77;10.60;6
7.1;0.20;0.34;16.00;0.050;51;166;0.9985;3.21;0.60;9.20;6
7.1;0.34;0.20;6.10;0.063;47;164;0.9946;3.17;0.42;10.00;5
7.3;0.22;0.30;8.20;0.047;42;207;0.9966;3.33;0.46;9.50;6
7.1;0.43;0.61;11.80;0.045;54;155;0.9974;3.11;0.45;8.70;5
7.1;0.44;0.62;11.80;0.044;52;152;0.9975;3.12;0.46;8.70;6
7.2;0.39;0.63;11.00;0.044;55;156;0.9974;3.09;0.44;8.70;6
6.8;0.25;0.31;13.30;0.050;69;202;0.9972;3.22;0.48;9.70;6
7.1;0.43;0.61;11.80;0.045;54;155;0.9974;3.11;0.45;8.70;5
7.1;0.44;0.62;11.80;0.044;52;152;0.9975;3.12;0.46;8.70;6
7.2;0.39;0.63;11.00;0.044;55;156;0.9974;3.09;0.44;8.70;6
6.1;0.27;0.43;7.50;0.049;65;243;0.9957;3.12;0.47;9.00;5
6.9;0.24;0.33;1.70;0.035;47;136;0.9900;3.26;0.40;12.60;7
6.9;0.21;0.33;1.80;0.034;48;136;0.9899;3.25;0.41;12.60;7
7.5;0.17;0.32;1.70;0.040;51;148;0.9916;3.21;0.44;11.50;7
7.1;0.26;0.29;12.40;0.044;62;240;0.9969;3.04;0.42;9.20;6
6.0;0.34;0.66;15.90;0.046;26;164;0.9979;3.14;0.50;8.80;6
8.6;0.27;0.36;1.20;0.034;15;80;0.9913;2.95;0.36;11.40;7
9.8;0.36;0.46;10.50;0.038;4;83;0.9956;2.89;0.30;10.10;4
6.0;0.34;0.66;15.90;0.046;26;164;0.9979;3.14;0.50;8.80;6
7.4;0.25;0.37;13.50;0.060;52;192;0.9975;3.00;0.44;9.10;5
7.1;0.12;0.32;9.60;0.054;64;162;0.9962;3.40;0.41;9.40;5
6.0;0.21;0.24;12.10;0.050;55;164;0.9970;3.34;0.39;9.40;5
7.5;0.31;0.40;18.90;0.059;44;170;1.0000;2.99;0.46;9.00;5
7.4;0.25;0.37;13.50;0.060;52;192;0.9975;3.00;0.44;9.10;5
7.3;0.13;0.32;14.40;0.051;34;109;0.9974;3.20;0.35;9.20;6
7.1;0.12;0.32;9.60;0.054;64;162;0.9962;3.40;0.41;9.40;5
7.1;0.23;0.35;16.50;0.040;60;171;0.9990;3.16;0.59;9.10;6
7.1;0.23;0.35;16.50;0.040;60;171;0.9990;3.16;0.59;9.10;6
6.9;0.33;0.28;1.30;0.051;37;187;0.9927;3.27;0.60;10.30;5
6.5;0.17;0.54;8.50;0.082;64;163;0.9959;2.89;0.39;8.80;6
7.2;0.27;0.46;18.75;0.052;45;255;1.0000;3.04;0.52;8.90;5
7.2;0.31;0.50;13.30;0.056;68;195;0.9982;3.01;0.47;9.20;5
6.7;0.41;0.34;9.20;0.049;29;150;0.9968;3.22;0.51;9.10;5
6.7;0.41;0.34;9.20;0.049;29;150;0.9968;3.22;0.51;9.10;5
5.5;0.49;0.00;1.50;0.065;8;103;0.9940;3.63;0.40;9.70;4
6.0;0.31;0.24;3.30;0.041;25;143;0.9914;3.31;0.44;11.30;6
7.0;0.14;0.40;1.70;0.035;16;85;0.9911;3.19;0.42;11.80;6
7.2;0.31;0.50;13.30;0.056;68;195;0.9982;3.01;0.47;9.20;5
7.3;0.32;0.48;13.30;0.060;57;196;0.9982;3.04;0.50;9.20;5
5.9;0.36;0.04;5.70;0.046;21;87;0.9934;3.22;0.51;10.20;5
7.8;0.24;0.32;12.20;0.054;42;138;0.9984;3.01;0.54;8.80;5
7.4;0.16;0.31;6.85;0.059;31;131;0.9952;3.29;0.34;9.70;5
6.9;0.19;0.28;5.00;0.058;14;146;0.9952;3.29;0.36;9.10;6
6.4;0.13;0.47;1.60;0.092;40;158;0.9928;3.21;0.36;9.80;6
6.7;0.19;0.36;1.10;0.026;63;143;0.9912;3.27;0.48;11.00;6
7.4;0.39;0.23;7.00;0.033;29;126;0.9940;3.14;0.42;10.50;5
6.5;0.24;0.32;7.60;0.038;48;203;0.9958;3.45;0.54;9.70;7
6.1;0.30;0.56;2.80;0.044;47;179;0.9924;3.30;0.57;10.90;7
6.1;0.30;0.56;2.70;0.046;46;184;0.9924;3.31;0.57;10.90;6
5.7;0.26;0.25;10.40;0.020;7;57;0.9940;3.39;0.37;10.60;5
6.5;0.24;0.32;7.60;0.038;48;203;0.9958;3.45;0.54;9.70;7
6.5;0.43;0.40;13.10;0.038;59;241;0.9979;3.23;0.57;9.00;5
6.6;0.24;0.27;15.80;0.035;46;188;0.9982;3.24;0.51;9.20;5
6.8;0.27;0.22;8.10;0.034;55;203;0.9961;3.19;0.52;8.90;5
6.7;0.27;0.31;15.70;0.036;44;179;0.9979;3.26;0.56;9.60;5
8.2;0.23;0.40;1.20;0.027;36;121;0.9920;3.12;0.38;10.70;6
7.1;0.37;0.67;10.50;0.045;49;155;0.9975;3.16;0.44;8.70;5
6.8;0.19;0.36;1.90;0.035;30;96;0.9917;3.15;0.54;10.80;7
8.1;0.28;0.39;1.90;0.029;18;79;0.9923;3.23;0.52;11.80;6
6.3;0.31;0.34;2.20;0.045;20;77;0.9927;3.30;0.43;10.20;5
7.1;0.37;0.67;10.50;0.045;49;155;0.9975;3.16;0.44;8.70;5
7.9;0.21;0.40;1.20;0.039;38;107;0.9920;3.21;0.54;10.80;6
8.5;0.21;0.41;4.30;0.036;24;99;0.9947;3.18;0.53;9.70;6
8.1;0.20;0.40;2.00;0.037;19;87;0.9921;3.12;0.54;11.20;6
6.3;0.26;0.37;1.10;0.040;37;114;0.9905;3.00;0.39;10.90;6
5.6;0.16;0.27;1.40;0.044;53;168;0.9918;3.28;0.37;10.10;6
6.4;0.60;0.14;5.20;0.058;15;97;0.9951;3.38;0.36;9.00;4
6.3;0.34;0.33;4.60;0.034;19;80;0.9917;3.38;0.58;12.00;7
6.9;0.25;0.30;4.10;0.054;23;116;0.9940;2.99;0.38;9.40;6
7.9;0.22;0.38;8.00;0.043;46;152;0.9934;3.12;0.32;11.50;7
7.6;0.18;0.46;10.20;0.055;58;135;0.9968;3.14;0.43;9.90;6
6.9;0.25;0.30;4.10;0.054;23;116;0.9940;2.99;0.38;9.40;6
7.2;0.18;0.41;1.20;0.048;41;97;0.9919;3.14;0.45;10.40;5
8.2;0.23;0.40;7.50;0.049;12;76;0.9966;3.06;0.84;9.70;6
7.4;0.24;0.42;14.00;0.066;48;198;0.9979;2.89;0.42;8.90;6
7.4;0.24;0.42;14.00;0.066;48;198;0.9979;2.89;0.42;8.90;6
6.1;0.32;0.24;1.50;0.036;38;124;0.9898;3.29;0.42;12.40;7
5.2;0.44;0.04;1.40;0.036;43;119;0.9894;3.36;0.33;12.10;8
5.2;0.44;0.04;1.40;0.036;43;119;0.9894;3.36;0.33;12.10;8
6.1;0.32;0.24;1.50;0.036;38;124;0.9898;3.29;0.42;12.40;7
6.4;0.22;0.56;14.50;0.055;27;159;0.9980;2.98;0.40;9.10;5
6.3;0.36;0.30;4.80;0.049;14;85;0.9932;3.28;0.39;10.60;5
7.4;0.24;0.42;14.00;0.066;48;198;0.9979;2.89;0.42;8.90;6
6.7;0.24;0.35;13.10;0.050;64;205;0.9970;3.15;0.50;9.50;5
7.0;0.23;0.36;13.00;0.051;72;177;0.9972;3.16;0.49;9.80;5
8.4;0.27;0.46;8.70;0.048;39;197;0.9974;3.14;0.59;9.60;6
6.7;0.46;0.18;2.40;0.034;25;98;0.9896;3.08;0.44;12.60;7
7.5;0.29;0.31;8.95;0.055;20;151;0.9968;3.08;0.54;9.30;5
9.8;0.42;0.48;9.85;0.034;5;110;0.9958;2.87;0.29;10.00;5
7.1;0.30;0.46;1.50;0.066;29;133;0.9906;3.12;0.54;12.70;6
7.9;0.19;0.45;1.50;0.045;17;96;0.9917;3.13;0.39;11.00;6
7.6;0.48;0.37;0.80;0.037;4;100;0.9902;3.03;0.39;11.40;4
6.3;0.22;0.43;4.55;0.038;31;130;0.9918;3.35;0.33;11.50;7
7.5;0.27;0.31;17.70;0.051;33;173;0.9990;3.09;0.64;10.20;5
6.9;0.23;0.40;7.50;0.040;50;151;0.9927;3.11;0.27;11.40;6
7.2;0.32;0.47;5.10;0.044;19;65;0.9910;3.03;0.41;12.60;4
5.9;0.23;0.30;12.90;0.054;57;170;0.9972;3.28;0.39;9.40;5
6.0;0.67;0.07;1.20;0.060;9;108;0.9931;3.11;0.35;8.70;4
6.4;0.25;0.32;5.50;0.049;41;176;0.9950;3.19;0.68;9.20;6
6.4;0.33;0.31;5.50;0.048;42;173;0.9951;3.19;0.66;9.30;6
7.1;0.34;0.15;1.20;0.053;61;183;0.9936;3.09;0.43;9.20;5
6.8;0.28;0.40;22.00;0.048;48;167;1.0010;2.93;0.50;8.70;5
6.9;0.27;0.40;14.00;0.050;64;227;0.9979;3.18;0.58;9.60;6
6.8;0.26;0.56;11.90;0.043;64;226;0.9970;3.02;0.63;9.30;5
6.8;0.29;0.56;11.90;0.043;66;230;0.9972;3.02;0.63;9.30;5
6.7;0.24;0.41;9.40;0.040;49;166;0.9954;3.12;0.61;9.90;6
5.9;0.30;0.23;4.20;0.038;42;119;0.9924;3.15;0.50;11.00;5
6.8;0.53;0.35;3.80;0.034;26;109;0.9906;3.26;0.57;12.70;8
6.5;0.28;0.28;8.50;0.047;54;210;0.9962;3.09;0.54;8.90;4
6.6;0.28;0.28;8.50;0.052;55;211;0.9962;3.09;0.55;8.90;6
6.8;0.28;0.40;22.00;0.048;48;167;1.0010;2.93;0.50;8.70;5
6.8;0.28;0.36;8.00;0.045;28;123;0.9928;3.02;0.37;11.40;6
6.6;0.15;0.34;5.10;0.055;34;125;0.9942;3.36;0.42;9.60;5
6.4;0.29;0.44;3.60;0.200;75;181;0.9942;3.02;0.41;9.10;5
6.4;0.30;0.45;3.50;0.197;76;180;0.9942;3.02;0.39;9.10;6
6.4;0.29;0.44;3.60;0.197;75;183;0.9942;3.01;0.38;9.10;5
6.8;0.26;0.24;7.80;0.052;54;214;0.9961;3.13;0.47;8.90;5
7.1;0.32;0.24;13.10;0.050;52;204;0.9980;3.10;0.49;8.80;5
6.8;0.26;0.24;7.80;0.052;54;214;0.9961;3.13;0.47;8.90;5
6.8;0.27;0.26;16.10;0.049;55;196;0.9984;3.15;0.50;9.30;5
7.1;0.32;0.24;13.10;0.050;52;204;0.9980;3.10;0.49;8.80;5
6.9;0.54;0.32;13.20;0.050;53;236;0.9973;3.20;0.50;9.60;5
6.8;0.26;0.34;13.90;0.034;39;134;0.9949;3.33;0.53;12.00;6
5.8;0.28;0.35;2.30;0.053;36;114;0.9924;3.28;0.50;10.20;4
6.4;0.21;0.50;11.60;0.042;45;153;0.9972;3.15;0.43;8.80;5
7.0;0.16;0.32;8.30;0.045;38;126;0.9958;3.21;0.34;9.20;5
10.2;0.44;0.88;6.20;0.049;20;124;0.9968;2.99;0.51;9.90;4
6.8;0.57;0.29;2.20;0.040;15;77;0.9938;3.32;0.74;10.20;5
6.1;0.40;0.31;0.90;0.048;23;170;0.9930;3.22;0.77;9.50;6
5.6;0.25;0.25;9.70;0.032;12;68;0.9940;3.31;0.34;10.50;5
6.8;0.18;0.38;1.40;0.038;35;111;0.9918;3.32;0.59;11.20;7
7.0;0.16;0.32;8.30;0.045;38;126;0.9958;3.21;0.34;9.20;5
6.7;0.13;0.29;5.30;0.051;31;122;0.9944;3.44;0.37;9.70;6
6.2;0.25;0.25;1.40;0.030;35;105;0.9912;3.30;0.44;11.10;7
5.8;0.26;0.24;9.20;0.044;55;152;0.9961;3.31;0.38;9.40;5
7.5;0.27;0.36;7.00;0.036;45;164;0.9939;3.03;0.33;11.00;5
5.8;0.26;0.24;9.20;0.044;55;152;0.9961;3.31;0.38;9.40;5
5.7;0.28;0.24;17.50;0.044;60;167;0.9989;3.31;0.44;9.40;5
7.5;0.23;0.36;7.00;0.036;43;161;0.9938;3.04;0.32;11.00;5
7.5;0.27;0.36;7.00;0.036;45;164;0.9939;3.03;0.33;11.00;5
7.2;0.69;0.21;9.50;0.070;33;172;0.9971;3.00;0.55;9.10;6
6.2;0.25;0.25;1.40;0.030;35;105;0.9912;3.30;0.44;11.10;7
6.5;0.19;0.30;0.80;0.043;33;144;0.9936;3.42;0.39;9.10;6
6.3;0.50;0.22;1.80;0.046;31;140;0.9929;3.39;0.54;10.40;6
7.1;0.24;0.41;17.80;0.046;39;145;0.9998;3.32;0.39;8.70;5
6.4;0.17;0.32;2.40;0.048;41;200;0.9938;3.50;0.50;9.70;6
7.1;0.25;0.32;10.30;0.041;66;272;0.9969;3.17;0.52;9.10;6
6.4;0.17;0.32;2.40;0.048;41;200;0.9938;3.50;0.50;9.70;6
7.1;0.24;0.41;17.80;0.046;39;145;0.9998;3.32;0.39;8.70;5
6.8;0.64;0.08;9.70;0.062;26;142;0.9972;3.37;0.46;8.90;4
8.3;0.28;0.40;7.80;0.041;38;194;0.9976;3.34;0.51;9.60;6
8.2;0.27;0.39;7.80;0.039;49;208;0.9976;3.31;0.51;9.50;6
7.2;0.23;0.38;14.30;0.058;55;194;0.9979;3.09;0.44;9.00;6
7.2;0.23;0.38;14.30;0.058;55;194;0.9979;3.09;0.44;9.00;6
7.2;0.23;0.38;14.30;0.058;55;194;0.9979;3.09;0.44;9.00;6
7.2;0.23;0.38;14.30;0.058;55;194;0.9979;3.09;0.44;9.00;6
6.8;0.52;0.32;13.20;0.044;54;221;0.9972;3.27;0.50;9.60;6
7.0;0.26;0.59;1.40;0.037;40;120;0.9918;3.34;0.41;11.10;7
6.2;0.25;0.21;15.55;0.039;28;159;0.9982;3.48;0.64;9.60;6
7.3;0.32;0.23;13.70;0.050;49;197;0.9985;3.20;0.46;8.70;5
7.7;0.31;0.26;7.80;0.031;23;90;0.9944;3.13;0.50;10.40;5
7.1;0.21;0.37;2.40;0.026;23;100;0.9903;3.15;0.38;11.40;7
6.8;0.24;0.34;2.70;0.047;64.5;218.5;0.9934;3.30;0.58;9.70;6
6.9;0.40;0.56;11.20;0.043;40;142;0.9975;3.14;0.46;8.70;5
6.1;0.18;0.36;2.00;0.038;20;249.5;0.9923;3.37;0.79;11.30;6
6.8;0.21;0.27;2.10;0.030;26;139;0.9900;3.16;0.61;12.60;7
5.8;0.20;0.27;1.40;0.031;12;77;0.9905;3.25;0.36;10.90;7
5.6;0.19;0.26;1.40;0.030;12;76;0.9905;3.25;0.37;10.90;7
6.1;0.41;0.14;10.40;0.037;18;119;0.9960;3.38;0.45;10.00;5
5.9;0.21;0.28;4.60;0.053;40;199;0.9964;3.72;0.70;10.00;4
8.5;0.26;0.21;16.20;0.074;41;197;0.9980;3.02;0.50;9.80;3
6.9;0.40;0.56;11.20;0.043;40;142;0.9975;3.14;0.46;8.70;5
5.8;0.24;0.44;3.50;0.029;5;109;0.9913;3.53;0.43;11.70;3
5.8;0.24;0.39;1.50;0.054;37;158;0.9932;3.21;0.52;9.30;6
6.7;0.26;0.39;1.10;0.040;45;147;0.9935;3.32;0.58;9.60;8
6.3;0.35;0.30;5.70;0.035;8;97;0.9927;3.27;0.41;11.00;7
6.3;0.35;0.30;5.70;0.035;8;97;0.9927;3.27;0.41;11.00;7
6.4;0.23;0.39;1.80;0.032;23;118;0.9912;3.32;0.50;11.80;6
5.8;0.36;0.38;0.90;0.037;3;75;0.9904;3.28;0.34;11.40;4
6.9;0.12;0.35;5.40;0.048;36;108;0.9939;3.32;0.42;10.20;6
6.9;0.29;0.40;19.45;0.043;36;156;0.9996;2.93;0.47;8.90;5
6.9;0.28;0.40;8.20;0.036;15;95;0.9944;3.17;0.33;10.20;5
7.2;0.29;0.40;13.60;0.045;66;231;0.9977;3.08;0.59;9.60;6
6.2;0.24;0.35;1.20;0.038;22;167;0.9912;3.10;0.48;10.60;6
6.9;0.29;0.40;19.45;0.043;36;156;0.9996;2.93;0.47;8.90;5
6.9;0.32;0.26;8.30;0.053;32;180;0.9965;3.25;0.51;9.20;6
5.3;0.58;0.07;6.90;0.043;34;149;0.9944;3.34;0.57;9.70;5
5.3;0.59;0.07;7.10;0.044;34;145;0.9945;3.34;0.57;9.70;6
5.4;0.59;0.07;7.00;0.045;36;147;0.9944;3.34;0.57;9.70;6
6.9;0.32;0.26;8.30;0.053;32;180;0.9965;3.25;0.51;9.20;6
5.2;0.60;0.07;7.00;0.044;33;147;0.9944;3.33;0.58;9.70;5
5.8;0.25;0.26;13.10;0.051;44;148;0.9972;3.29;0.38;9.30;5
6.6;0.58;0.30;5.10;0.057;30;123;0.9949;3.24;0.38;9.00;5
7.0;0.29;0.54;10.70;0.046;59;234;0.9966;3.05;0.61;9.50;5
6.6;0.19;0.41;8.90;0.046;51;169;0.9954;3.14;0.57;9.80;6
6.7;0.20;0.41;9.10;0.044;50;166;0.9954;3.14;0.58;9.80;6
7.7;0.26;0.40;1.10;0.042;9;60;0.9915;2.89;0.50;10.60;5
6.8;0.32;0.34;1.20;0.044;14;67;0.9919;3.05;0.47;10.60;4
7.0;0.30;0.49;4.70;0.036;17;105;0.9916;3.26;0.68;12.40;7
7.0;0.24;0.36;2.80;0.034;22;112;0.9900;3.19;0.38;12.60;8
6.1;0.31;0.58;5.00;0.039;36;114;0.9909;3.30;0.60;12.30;8
6.8;0.44;0.37;5.10;0.047;46;201;0.9938;3.08;0.65;10.50;4
6.7;0.34;0.30;15.60;0.054;51;196;0.9982;3.19;0.49;9.30;5
7.1;0.35;0.24;15.40;0.055;46;198;0.9988;3.12;0.49;8.80;5
7.3;0.32;0.25;7.20;0.056;47;180;0.9961;3.08;0.47;8.80;5
6.5;0.28;0.33;15.70;0.053;51;190;0.9978;3.22;0.51;9.70;6
7.2;0.23;0.39;14.20;0.058;49;192;0.9979;2.98;0.48;9.00;7
7.2;0.23;0.39;14.20;0.058;49;192;0.9979;2.98;0.48;9.00;7
7.2;0.23;0.39;14.20;0.058;49;192;0.9979;2.98;0.48;9.00;7
7.2;0.23;0.39;14.20;0.058;49;192;0.9979;2.98;0.48;9.00;7
5.9;0.15;0.31;5.80;0.041;53;155;0.9945;3.52;0.46;10.50;6
7.4;0.28;0.42;19.80;0.066;53;195;1.0000;2.96;0.44;9.10;5
6.2;0.28;0.22;7.30;0.041;26;157;0.9957;3.44;0.64;9.80;7
9.1;0.59;0.38;1.60;0.066;34;182;0.9968;3.23;0.38;8.50;3
6.3;0.33;0.27;1.20;0.046;34;175;0.9934;3.37;0.54;9.40;6
8.3;0.39;0.70;10.60;0.045;33;169;0.9976;3.09;0.57;9.40;5
7.2;0.19;0.46;3.80;0.041;82;187;0.9932;3.19;0.60;11.20;7
7.5;0.17;0.44;11.30;0.046;65;146;0.9970;3.17;0.45;10.00;6
6.7;0.17;0.50;2.10;0.043;27;122;0.9923;3.15;0.45;10.30;6
6.1;0.41;0.00;1.60;0.063;36;87;0.9914;3.27;0.67;10.80;6
8.3;0.20;0.35;0.90;0.050;12;74;0.9920;3.13;0.38;10.50;6
6.1;0.41;0.00;1.60;0.063;36;87;0.9914;3.27;0.67;10.80;6
6.0;0.29;0.21;1.30;0.055;42;168;0.9914;3.32;0.43;11.10;6
7.3;0.41;0.24;6.80;0.057;41;163;0.9949;3.20;0.41;9.90;6
7.3;0.41;0.24;6.80;0.057;41;163;0.9949;3.20;0.41;9.90;6
7.2;0.43;0.24;6.70;0.058;40;163;0.9950;3.20;0.41;9.90;5
7.3;0.40;0.24;6.70;0.058;41;166;0.9950;3.20;0.41;9.90;6
6.2;0.33;0.27;4.90;0.036;30;134;0.9927;3.20;0.42;10.40;7
6.2;0.31;0.26;4.80;0.037;36;148;0.9928;3.21;0.41;10.40;6
6.1;0.36;0.27;2.10;0.035;16;100;0.9917;3.40;0.71;11.50;7
5.0;0.55;0.14;8.30;0.032;35;164;0.9918;3.53;0.51;12.50;8
7.8;0.25;0.41;3.70;0.042;37;149;0.9954;3.36;0.45;10.00;6
5.7;0.36;0.21;6.70;0.038;51;166;0.9941;3.29;0.63;10.00;6
5.8;0.34;0.21;6.60;0.040;50;167;0.9941;3.29;0.62;10.00;5
6.8;0.28;0.60;1.10;0.132;42;127;0.9934;3.09;0.44;9.10;6
6.8;0.25;0.34;4.70;0.031;34;134;0.9927;3.21;0.38;10.60;6
6.6;0.24;0.35;7.70;0.031;36;135;0.9938;3.19;0.37;10.50;5
5.9;0.30;0.47;7.85;0.030;19;133;0.9933;3.52;0.43;11.50;7
6.1;0.13;0.25;3.30;0.040;10;69;0.9934;3.54;0.59;10.10;6
6.0;0.10;0.24;1.10;0.041;15;65;0.9927;3.61;0.61;10.30;7
6.6;0.24;0.35;7.70;0.031;36;135;0.9938;3.19;0.37;10.50;5
